income,reviews
913619942,141119
199864840,15455
339217881,7188
140616570,3041
202226349,54477
168647138,5813
227233854,11634
195374554,8147
283024874,7904
513598458,23675
313289892,20078
26532233,11086
504386602,23935
217677476,1503
75730868,17998
